Año,Mes,Aeropuerto,Vuelos,Pasajeros,Retrasos_Min,Temperatura_C,Combustible_L
2024,Enero,Medellin,320,45200,18,26,125000
2024,Febrero,Bogota,410,63800,25,18,168000
2024,Marzo,Cali,295,40100,14,29,118000
2024,Abril,Cartagena,360,58200,20,31,142000
2024,Mayo,Medellin,390,61500,22,27,151000
2024,Junio,Bogota,450,70200,28,17,181000
2024,Julio,Cali,310,43800,16,30,123000
2024,Agosto,Cartagena,380,60100,24,32,149000
2024,Septiembre,Medellin,405,65500,21,26,158000
2024,Octubre,Bogota,470,73500,30,16,189000
2025,Noviembre,Cali,330,47200,17,28,129000
2025,Diciembre,Cartagena,520,88400,35,33,215000
2025,Enero,Bogota,390,59800,23,19,160000
2025,Febrero,Cartagena,340,55200,19,30,138000
2025,Marzo,Medellin,360,57000,20,27,145000
2025,Abril,Cali,300,42500,15,29,120000
2025,Mayo,Bogota,440,71000,29,18,183000
2025,Junio,Cartagena,410,64800,26,32,165000
2025,Julio,Medellin,385,61200,22,26,152000
2025,Agosto,Cali,325,45500,18,31,127000
